AUTHORISATION ID / PERMIT ID,PRIMARY INDUSTRY ACTIVITY DESCRIPTION,OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,EASTING,NORTHING,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD (kg),QUANTITY RELEASED (kg),REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB SECTOR,PNEC (??g/L),Latitude,Longitude,REGION,Year,ACTIVITY DESCRIPTION,EA AREA NAME LABEL,ROUTE NAME LABEL,REGULATED INDUSTRY SECTOR LABEL,REGULATED INDUSTRY SUB SECTOR LABEL
16950033,,UNITED UTILITIES WATER PLC,BURY,,380450,408050,Greater Manchester Merseyside and Cheshire,Controlled Waters,Benzo(a)pyrene,1,1.05,Water Industry,Water Industry,,53.56868951,-2.296668002,North West,2016,,,,,
17160024,,UNITED UTILITIES WATER PLC,BLACKBURN,,360470,429410,Cumbria and Lancashire,Controlled Waters,Benzo(a)pyrene,1,1.11,Water Industry,Water Industry,,53.75953686,-2.601070203,North West,2016,,,,,
16950041,,UNITED UTILITIES WATER PLC,ROCHDALE,,388160,412370,Greater Manchester Merseyside and Cheshire,Controlled Waters,Benzo(a)pyrene,1,1.22,Water Industry,Water Industry,,53.60775096,-2.180416823,North West,2016,,,,,
17081316,,UNITED UTILITIES WATER PLC,WIGAN,,348170,412020,Greater Manchester Merseyside and Cheshire,Controlled Waters,Benzo(a)pyrene,1,1.42,Water Industry,Water Industry,,53.60216703,-2.784707856,North West,2016,,,,,
16950032,,UNITED UTILITIES WATER PLC,BOLTON,,376950,404520,Greater Manchester Merseyside and Cheshire,Controlled Waters,Benzo(a)pyrene,1,1.49,Water Industry,Water Industry,,53.53681846,-2.349253892,North West,2016,,,,,
17280252,,UNITED UTILITIES WATER PLC,Fleetwood Wwtw Jameson Road Fleetwood Lancashire,FY7 8TW,333090,446180,Cumbria and Lancashire,Controlled Waters,Benzo(a)pyrene,1,1.54,Water Industry,Water Industry,,53.90743794,-3.019968528,North West,2016,,,,,
166993397,,UNITED UTILITIES WATER PLC,Liverpool Waste Water Treatment Sandon Dock Regent Road Liverpool Merseyside,L3 0BE,333730,392800,Greater Manchester Merseyside and Cheshire,Controlled Waters,Benzo(a)pyrene,1,3.44,Water Industry,Water Industry,,53.42780659,-2.998815241,North West,2016,,,,,
16940143,,UNITED UTILITIES WATER PLC,DAVYHULME,,374800,396460,Greater Manchester Merseyside and Cheshire,Controlled Waters,Benzo(a)pyrene,1,4.39,Water Industry,Water Industry,,53.46427432,-2.381042231,North West,2016,,,,,
MP3734SC,OTHER WASTE DISPOSAL; WASTE OILS >10 T/D,Oil Salvage Limited,Bootle Oil Recovery Lyster Road Bootle Merseyside,L20 1AS,333440,395410,Greater Manchester Merseyside and Cheshire,Wastewater,Benzo(a)pyrene,1,0,Waste treatment,Hazardous,,53.45122638,-3.003731771,North West,2016,,,,,
UP3639LY,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",3C Waste Limited,Danes Moss Landfill Site Gawsworth Macclesfield Cheshire,SK11 9QP,390500,371500,Greater Manchester Merseyside and Cheshire,Wastewater,Benzo(a)pyrene,1,0,Landfill,Non Hazardous Landfill,,53.24043946,-2.143804169,North West,2016,,,,,
16950038,,UNITED UTILITIES WATER PLC,OLDHAM,,389260,404300,Greater Manchester Merseyside and Cheshire,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,53.53523964,-2.16351158,North West,2016,,,,,
16940151,,UNITED UTILITIES WATER PLC,STOCKPORT,,386520,389820,Greater Manchester Merseyside and Cheshire,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,53.40502394,-2.204224914,North West,2016,,,,,
