AUTHORISATION ID / PERMIT ID,ACTIVITY DESCRIPTION,OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,EASTING,NORTHING,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD (kg),QUANTITY RELEASED (kg),REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB SECTOR,EA AREA NAME LABEL,ROUTE NAME LABEL,REGULATED INDUSTRY SECTOR LABEL,REGULATED INDUSTRY SUB SECTOR LABEL,PNEC (??g/L),Latitude,Longitude,REGION
T/48/12074/R,,SEVERN TRENT WATER LTD,Derby Sewage Treatment Works Chp Plant Megaloughton Lane Spondon Derby Derbyshire,DE21 7BR,438830,343470,East Midlands,Controlled Waters,Benzo(a)pyrene,1,1.59,Water Industry,Water Industry,3,1,15,29,,52.98716657,-1.423035169,East Midlands
T/48/12074/R,,SEVERN TRENT WATER LTD,Derby Sewage Treatment Works Chp Plant Megaloughton Lane Spondon Derby Derbyshire,DE21 7BR,438830,343470,East Midlands,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,2.06,Water Industry,Water Industry,3,1,15,29,,52.98716657,-1.423035169,East Midlands
T/64/45170/R,,SEVERN TRENT WATER LTD,Stoke Bardolph STW Nottingham,NG14 5HL,464730,342220,East Midlands,Controlled Waters,Benzo(a)pyrene,1,2.69,Water Industry,Water Industry,3,1,15,29,,52.97343473,-1.037524955,East Midlands
T/53/45014/R,,SEVERN TRENT WATER LTD,Wanlip Sewage Treatment Works Fillingate Wanlip Leicester Leicestershire,LE7 4PF,459760,311500,East Midlands,Controlled Waters,Benzo(a)pyrene,1,2.7,Water Industry,Water Industry,3,1,15,29,,52.69788886,-1.117140761,East Midlands
T/64/45170/R,,SEVERN TRENT WATER LTD,Stoke Bardolph STW Nottingham,NG14 5HL,464730,342220,East Midlands,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,3.48,Water Industry,Water Industry,3,1,15,29,,52.97343473,-1.037524955,East Midlands
T/53/45014/R,,SEVERN TRENT WATER LTD,Wanlip Sewage Treatment Works Fillingate Wanlip Leicester Leicestershire,LE7 4PF,459760,311500,East Midlands,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,3.5,Water Industry,Water Industry,3,1,15,29,,52.69788886,-1.117140761,East Midlands
AWNNF13399,,Anglian Water,Broadholme STW,,494150,268750,Lincolnshire and Northamptonshire,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,7,1,15,29,,52.3088025,-0.620468401,East Midlands
ANNNF2073,,Anglian Water,Lincoln(Canwick) STW,,499810,370880,Lincolnshire and Northamptonshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,0,Water Industry,Water Industry,7,1,15,29,,53.22559823,-0.506398278,East Midlands
ANNNF2073,,Anglian Water,Lincoln(Canwick) STW,,499810,370880,Lincolnshire and Northamptonshire,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,7,1,15,29,,53.22559823,-0.506398278,East Midlands
WRA6756,,Yorkshire Water Services Limited,OLD WHITTINGTON STW,S41 9QU,439164,374345,Yorkshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,0,Water Industry,Water Industry,13,1,15,29,,53.26466246,-1.414301035,East Midlands
XP3705MV,Disposal of non-hazardous waste in a facility with a capacity of more than 50 tonnes per day by physico -chemical treatment. ,Syracuse Waste Ltd,Maple Lodge WWTW Denham Way Hertfordshire,WD3 9SQ,503860,192210,Hertfordshire and North London,Wastewater,"Indeno(1,2,3-cd)pyrene",1,0,Biowaste Treatment,Biowaste Treatment,5,3,1,0,,51.61914115,-0.501219573,East of England
XP3705MV,Disposal of non-hazardous waste in a facility with a capacity of more than 50 tonnes per day by physico -chemical treatment. ,Syracuse Waste Ltd,Maple Lodge WWTW Denham Way Hertfordshire,WD3 9SQ,503860,192210,Hertfordshire and North London,Wastewater,Fluoranthene,0.1,0,Biowaste Treatment,Biowaste Treatment,5,3,1,0,,51.61914115,-0.501219573,East of England
DP3938YY,Animal vegetable and food treating etc vegetable,Kingsley Beverage Limited,Kingsley Beverage Peterborough 2 Waterworth Road Cambridgeshire,PE73AG,514540,294220,Lincolnshire and Northamptonshire,Wastewater,Benzo(a)pyrene,1,0,Food & Drink,Food & Drink,7,3,6,7,,52.53381049,-0.312808444,East of England
AP3634FT,Animal vegetable and food treating etc vegetable,Princes Limited,Food Factory Lynn Road Wisbech Lynn Road Wisbech Cambridgeshire,PE13 3DG,546900,310500,Lincolnshire and Northamptonshire,Wastewater,Heptachlor,0.1,0,Food & Drink,Food & Drink,7,3,6,7,,52.67230218,0.171155241,East of England
AP3634FT,Animal vegetable and food treating etc vegetable,Princes Limited,Food Factory Lynn Road Wisbech Lynn Road Wisbech Cambridgeshire,PE13 3DG,546900,310500,Lincolnshire and Northamptonshire,Wastewater,Cypermethrin,0.005,0,Food & Drink,Food & Drink,7,3,6,7,1.30E-05,52.67230218,0.171155241,East of England
VP3838LP,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Oikos Storage Limited,"Hole Haven Wharf,Oikos Stoarge Ltd Haven Road Essex",SS8 0NR,577850,182090,East Anglia,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,0,Waste Treatment,Hazardous Waste,2,1,14,9,,51.50974637,0.561480306,East of England
VP3838LP,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Oikos Storage Limited,"Hole Haven Wharf,Oikos Stoarge Ltd Haven Road Essex",SS8 0NR,577850,182090,East Anglia,Wastewater,"Indeno(1,2,3-cd)pyrene",1,0,Waste Treatment,Hazardous Waste,2,3,14,9,,51.50974637,0.561480306,East of England
VP3838LP,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Oikos Storage Limited,"Hole Haven Wharf,Oikos Stoarge Ltd Haven Road Essex",SS8 0NR,577850,182090,East Anglia,Controlled Waters,Fluoranthene,0.1,0,Waste Treatment,Hazardous Waste,2,1,14,9,,51.50974637,0.561480306,East of England
VP3838LP,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Oikos Storage Limited,"Hole Haven Wharf,Oikos Stoarge Ltd Haven Road Essex",SS8 0NR,577850,182090,East Anglia,Controlled Waters,Heptachlor,0.1,0,Waste Treatment,Hazardous Waste,2,1,14,9,,51.50974637,0.561480306,East of England
VP3838LP,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Oikos Storage Limited,"Hole Haven Wharf,Oikos Stoarge Ltd Haven Road Essex",SS8 0NR,577850,182090,East Anglia,Controlled Waters,Benzo(a)pyrene,1,0,Waste Treatment,Hazardous Waste,2,1,14,9,,51.50974637,0.561480306,East of England
VP3838LP,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Oikos Storage Limited,"Hole Haven Wharf,Oikos Stoarge Ltd Haven Road Essex",SS8 0NR,577850,182090,East Anglia,Wastewater,Benzo(a)pyrene,1,0,Waste Treatment,Hazardous Waste,2,3,14,9,,51.50974637,0.561480306,East of England
VP3838LP,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Oikos Storage Limited,"Hole Haven Wharf,Oikos Stoarge Ltd Haven Road Essex",SS8 0NR,577850,182090,East Anglia,Wastewater,Cypermethrin,0.005,0,Waste Treatment,Hazardous Waste,2,3,14,9,1.30E-05,51.50974637,0.561480306,East of England
VP3838LP,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Oikos Storage Limited,"Hole Haven Wharf,Oikos Stoarge Ltd Haven Road Essex",SS8 0NR,577850,182090,East Anglia,Controlled Waters,Cypermethrin,0.005,0,Waste Treatment,Hazardous Waste,2,1,14,9,1.30E-05,51.50974637,0.561480306,East of England
VP3838LP,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Oikos Storage Limited,"Hole Haven Wharf,Oikos Stoarge Ltd Haven Road Essex",SS8 0NR,577850,182090,East Anglia,Wastewater,Fluoranthene,0.1,0,Waste Treatment,Hazardous Waste,2,3,14,9,,51.50974637,0.561480306,East of England
VP3838LP,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Oikos Storage Limited,"Hole Haven Wharf,Oikos Stoarge Ltd Haven Road Essex",SS8 0NR,577850,182090,East Anglia,Wastewater,Heptachlor,0.1,0,Waste Treatment,Hazardous Waste,2,3,14,9,,51.50974637,0.561480306,East of England
BV4517IM,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Valencia Waste Management Limited,Masons Landfill Site GREAT BLAKENHAM,IP6 0NW,611400,250200,East Anglia,Wastewater,Fluoranthene,0.1,0.57848,Landfill,Non Hazardous Landfill,2,3,7,17,,52.10970232,1.085775222,East of England
NP3736GU,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Veolia ES Landfill Limited,Ockendon Area II & III Landfill Medebridge Road Essex,RM16 5TZ,561510,182470,East Anglia,Wastewater,"Indeno(1,2,3-cd)pyrene",1,0,Landfill,Non Hazardous Landfill,2,3,7,17,,51.51806341,0.326409169,East of England
NP3736GU,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Veolia ES Landfill Limited,Ockendon Area II & III Landfill Medebridge Road Essex,RM16 5TZ,561510,182470,East Anglia,Wastewater,Benzo(a)pyrene,1,0,Landfill,Non Hazardous Landfill,2,3,7,17,,51.51806341,0.326409169,East of England
DP3439AZ,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Norfolk County Council,Edgefield Landfill Site Holt Road Off B1149 Holt Norfolk,NR24 2RS,608380,335550,East Anglia,Wastewater,Fluoranthene,0.1,0,Landfill,Non Hazardous Landfill,2,3,7,17,,52.87703774,1.095117247,East of England
WP3434TW,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Woodford Waste Management  Services Limited,Warboys Landfill Site Puddock Hill Warboys Huntingdon,PE28 2TX,530880,281900,East Anglia,Wastewater,Benzo(a)pyrene,1,0,Landfill,Non Hazardous Landfill,2,3,7,17,,52.4194397,-0.07688537,East of England
WP3434TW,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Woodford Waste Management  Services Limited,Warboys Landfill Site Puddock Hill Warboys Huntingdon,PE28 2TX,530880,281900,East Anglia,Wastewater,Fluoranthene,0.1,0,Landfill,Non Hazardous Landfill,2,3,7,17,,52.4194397,-0.07688537,East of England
WP3434TW,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Woodford Waste Management  Services Limited,Warboys Landfill Site Puddock Hill Warboys Huntingdon,PE28 2TX,530880,281900,East Anglia,Wastewater,Heptachlor,0.1,0,Landfill,Non Hazardous Landfill,2,3,7,17,,52.4194397,-0.07688537,East of England
