AUTHORISATION ID / PERMIT ID,PRIMARY INDUSTRY ACTIVITY DESCRIPTION,OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,EASTING,NORTHING,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD (kg),QUANTITY RELEASED (kg),REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB SECTOR,PNEC (??g/L),Latitude,Longitude,REGION
CNTD.0071,,THAMES WATER UTILITIES LTD,MAPLE LODGE STW,WD3 9SQ,504200,192000,Hertfordshire and North London,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,2.55,Water Industry,Water Industry,,51.61719086,-0.496372735,East of England
DP3439AZ,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Norfolk County Council,Edgefield Landfill Site Holt Road Off B1149 Holt Norfolk,NR24 2RS,608380,335550,East Anglia,Wastewater,Fluoranthene,0.1,0,Landfill,Non Hazardous Landfill,,52.87703774,1.095117247,East of England
EP3936GP,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Veolia ES Landfill Limited,Pitsea Landfill Pitsea Hall Lane Pitsea Essex,SS16 4UH,573800,187100,East Anglia,Controlled Waters,Benzo(a)pyrene,1,0,Landfill,Non Hazardous Landfill,,51.55600949,0.505650022,East of England
NP3736GU,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Veolia ES Landfill Limited,Ockendon Landfill Medebridge Road Grays Essex,RM16 5TZ,561510,182470,East Anglia,Wastewater,Fluoranthene,0.1,0,Landfill,Non Hazardous Landfill,,51.51806341,0.326409169,East of England
NP3736GU,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Veolia ES Landfill Limited,Ockendon Landfill Medebridge Road Grays Essex,RM16 5TZ,561510,182470,East Anglia,Wastewater,Benzo(a)pyrene,1,0,Landfill,Non Hazardous Landfill,,51.51806341,0.326409169,East of England
FP3132UE,"PAPER, PULP AND BOARD; PRODUCING PULP FROM TIMBER ETC",Palm Paper Limited,Saddlebow Paper Mill Poplar Avenue Kings Lynn Norfolk,PE34 3AL,561200,317800,East Anglia,Controlled Waters,Cypermethrin,0.005,0,Paper and textiles,Paper & Pulp,1.30E-05,52.73380913,0.386030792,East of England
UP3330ZF,REFINING MINERAL OILS,Morzine Limited,Thames Oilport The Manorway Thurrock,SS17 9LL,575260,182580,East Anglia,Controlled Waters,Fluoranthene,0.1,0,Refineries & Fuel,Refineries & Fuel,,51.51495651,0.524440255,East of England
UP3330ZF,REFINING MINERAL OILS,Morzine Limited,Thames Oilport The Manorway Thurrock,SS17 9LL,575260,182580,East Anglia,Controlled Waters,Benzo(a)pyrene,1,0,Refineries & Fuel,Refineries & Fuel,,51.51495651,0.524440255,East of England
AW5NF5178,,Anglian Water,Flag Fen STW,,522140,298140,Lincolnshire and Northamptonshire,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,52.56738396,-0.199381261,East of England
ASCNF1033,,Anglian Water,Cambridge STW,,548350,261540,East Anglia,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,0,Water Industry,Water Industry,,52.23207646,0.170841174,East of England
ASCNF1033,,Anglian Water,Cambridge STW,,548350,261540,East Anglia,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,52.23207646,0.170841174,East of England
AW1NF2460,,Anglian Water,Bedford STW,,508500,249600,East Anglia,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,0,Water Industry,Water Industry,,52.13405864,-0.416204867,East of England
AW1NF2460,,Anglian Water,Bedford STW,,508500,249600,East Anglia,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,52.13405864,-0.416204867,East of England
CNTW.0531,,Anglian Water,TILBURY STW,,565670,175350,East Anglia,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,0,Water Industry,Water Industry,,51.45289581,0.382973138,East of England
CNTW.0531,,Anglian Water,TILBURY STW,,565670,175350,East Anglia,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,51.45289581,0.382973138,East of England
CNTD.0084,,THAMES WATER UTILITIES LTD,LUTON STW,LU1 5TS,512300,217800,Hertfordshire and North London,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,0,Water Industry,Water Industry,,51.8475121,-0.371113535,East of England
CNTD.0084,,THAMES WATER UTILITIES LTD,LUTON STW,LU1 5TS,512300,217800,Hertfordshire and North London,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,51.8475121,-0.371113535,East of England
