AUTHORISATION ID / PERMIT ID,PRIMARY INDUSTRY ACTIVITY DESCRIPTION,OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,EASTING,NORTHING,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD (kg),QUANTITY RELEASED (kg),REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB SECTOR,PNEC (µg/L)
235/1695,,NORTHUMBRIAN WATER LTD,Howdon Sewage Treatment Works Northumberland Dock Road Wallsend Tyne And Wear,NE28 0QD,433340,566290,North East,Controlled Waters,Fluoranthene,0.1,0.85,Water Industry,Water Industry,
CNTD.0072,,THAMES WATER UTILITIES LTD,DEEPHAMS STW,N9 0BA,535660,193170,Hertfordshire and North London,Controlled Waters,Fluoranthene,0.1,0.9,Water Industry,Water Industry,
017670049,,UNITED UTILITIES WATER PLC,CARLISLE WILLOWHOLME INDUSTRIAL ESTATE CARLISLE CUMBRIA,CA2 5SH,338470,556520,Cumbria and Lancashire,Controlled Waters,Benzo(a)pyrene,1.0,1.0,Water Industry,Water Industry,
016940143,,UNITED UTILITIES WATER PLC,DAVYHULME,,374800,396460,Greater Manchester Merseyside and Cheshire,Controlled Waters,Fluoranthene,0.1,1.0,Water Industry,Water Industry,
S/20/21356/R,,SEVERN TRENT WATER LTD,Netheridge CHP Plant Hempsted Lane Hempsted Gloucestershire,GL2 5LF,381110,215700,West Midlands,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.01,Water Industry,Water Industry,
CTCR.0709,,THAMES WATER UTILITIES LTD,OXFORD STW,OX4 4YU,454200,202200,Thames,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.02,Water Industry,Water Industry,
S/06/55232/R,,SEVERN TRENT WATER LTD,Roundhill Sewage Treatment Wor Gibbett Lane Kinver West Midlands,DY7 6PX,303870,202830,West Midlands,Controlled Waters,Benzo(a)pyrene,1.0,1.02,Water Industry,Water Industry,
AW5NF5178,,Anglian Water,Flag Fen STW,,522140,298140,Lincolnshire and Northamptonshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.03,Water Industry,Water Industry,
CASM.0040,,THAMES WATER UTILITIES LTD,HOGSMILL A STW,KT1 3BW,519200,168500,"Kent, South London and East Sussex",Controlled Waters,Benzo(a)pyrene,1.0,1.03,Water Industry,Water Industry,
016940151,,UNITED UTILITIES WATER PLC,STOCKPORT,,386520,389820,Greater Manchester Merseyside and Cheshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.04,Water Industry,Water Industry,
016950033,,UNITED UTILITIES WATER PLC,BURY,,380450,408050,Greater Manchester Merseyside and Cheshire,Controlled Waters,Benzo(a)pyrene,1.0,1.05,Water Industry,Water Industry,
016950038,,UNITED UTILITIES WATER PLC,OLDHAM,,389260,404300,Greater Manchester Merseyside and Cheshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.06,Water Industry,Water Industry,
CNTD.0058,,THAMES WATER UTILITIES LTD,LITTLE MARLOW STW,SL7 3RT,487800,187000,Thames,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.08,Water Industry,Water Industry,
AWCNF10296,,Anglian Water,Cotton Valley STW,,488630,241460,East Anglia,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.08,Water Industry,Water Industry,
255/1144,,NORTHUMBRIAN WATER LTD,HENDON STW,SR1 2ES,441049,555891,North East,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.09,Water Industry,Water Industry,
017160024,,UNITED UTILITIES WATER PLC,BLACKBURN,,360470,429410,Cumbria and Lancashire,Controlled Waters,Benzo(a)pyrene,1.0,1.11,Water Industry,Water Industry,
CAWM.0942,,THAMES WATER UTILITIES LTD,READING STW,RG2 0RP,471100,170800,Thames,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.12,Water Industry,Water Industry,
016930112,,UNITED UTILITIES WATER PLC,FAZAKERLEY,,339370,396600,Greater Manchester Merseyside and Cheshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.12,Water Industry,Water Industry,
CASM.0340,,Anglian Water,SOUTHEND ON SEA STW,,581900,190600,East Anglia,Controlled Waters,Benzo(a)pyrene,1.0,1.15,Water Industry,Water Industry,
CNTM.2237,,THAMES WATER UTILITIES LTD,SLOUGH STW,SL1 9EB,494100,179200,Thames,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.19,Water Industry,Water Industry,
